atc_code,atc_level1,role,n_substances,n_suppliers,n_ulcm_substances,n_countries,top_country,top_country_share,hhi_country,eu_eea_share
A16AX03,A,api_cep,1,1,0,1,IN,1.0,10000.0,0.0
A16AX03,A,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
A16AX03,A,mah_national,2,2,0,,,,,
A16AX04,A,batch_release,1,1,0,1,SE,1.0,10000.0,1.0
A16AX04,A,mah_national,1,4,0,,,,,
A16AX05,A,batch_release,1,1,0,1,FR,1.0,10000.0,1.0
A16AX05,A,mah_national,1,1,0,,,,,
A16AX06,A,batch_release,1,6,0,4,FR,0.3333,2777.8,1.0
A16AX06,A,mah_national,1,5,0,,,,,
A16AX07,A,batch_release,1,5,0,5,DE,0.2,2000.0,1.0
A16AX07,A,mah_national,1,2,0,,,,,
A16AX08,A,batch_release,1,4,0,3,IE,0.5,3750.0,1.0
A16AX08,A,bio_api,1,1,0,1,AT,1.0,10000.0,1.0
A16AX08,A,mah_national,1,2,0,,,,,
A16AX09,A,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
A16AX09,A,mah_national,1,1,0,,,,,
A16AX10,A,batch_release,1,3,0,2,FR,0.6667,5555.6,1.0
A16AX10,A,mah_national,1,1,0,,,,,
A16AX11,A,api_cep,1,2,0,2,IE,0.5,5000.0,0.5
A16AX12,A,mah_national,2,3,0,,,,,
A16AX16,A,batch_release,1,1,0,1,NL,1.0,10000.0,1.0
A16AX16,A,mah_national,1,1,0,,,,,
A16AX18,A,batch_release,1,1,0,1,NL,1.0,10000.0,1.0
A16AX19,A,batch_release,1,1,0,1,NL,1.0,10000.0,1.0
A16AX19,A,mah_national,1,1,0,,,,,
A16AX20,A,mah_national,1,1,0,,,,,
A16AX28,A,mah_national,1,1,0,,,,,
A16AX29,A,batch_release,1,1,0,1,DE,1.0,10000.0,1.0
A16AX29,A,mah_national,2,1,0,,,,,
B01,B,batch_release,2,4,0,3,DE,0.5,3750.0,1.0
B01A,B,batch_release,1,2,0,2,BE,0.5,5000.0,1.0
B01A,B,bio_api,1,1,0,1,DE,1.0,10000.0,1.0
B01A,B,mah_national,1,1,0,,,,,
B01AA,B,mah_national,2,2,1,,,,,
B01AA03,B,api_cep,1,8,1,5,IN,0.5,3125.0,0.375
B01AA03,B,mah_national,2,2,1,,,,,
B01AB,B,mah_national,8,9,1,,,,,
B01AB01,B,api_cep,1,3,1,2,CN,0.6667,5555.6,0.3333
B01AB01,B,mah_national,4,2,1,,,,,
B01AB05,B,api_cep,1,3,0,3,CN,0.3333,3333.3,0.3333
B01AB05,B,batch_release,1,1,0,1,PL,1.0,10000.0,1.0
B01AB05,B,bio_api,1,2,0,1,CN,1.0,10000.0,0.0
B01AB05,B,mah_national,1,6,0,,,,,
B01AB09,B,mah_national,1,1,0,,,,,
B01AB10,B,mah_national,1,3,0,,,,,
B01AB12,B,mah_national,1,1,0,,,,,
B01AC,B,mah_national,10,23,2,,,,,
B01AC03,B,api_cep,1,42,1,7,IN,0.619,4444.4,0.119
B01AC03,B,batch_release,1,4,1,4,DE,0.25,2500.0,1.0
B01AC04,B,api_cep,1,42,1,7,IN,0.619,4444.4,0.119
B01AC04,B,batch_release,1,16,1,12,IT,0.1765,1003.5,0.9412
B01AC04,B,mah_national,2,15,1,,,,,
B01AC06,B,api_cep,1,42,1,7,IN,0.619,4444.4,0.119
B01AC06,B,mah_national,1,5,0,,,,,
B01AC07,B,mah_national,1,1,0,,,,,
B01AC09,B,mah_national,1,2,0,,,,,
B01AC11,B,batch_release,1,1,0,1,ES,1.0,10000.0,1.0
B01AC11,B,mah_national,1,2,0,,,,,
B01AC16,B,batch_release,1,3,1,3,GR,0.3333,3333.3,1.0
B01AC16,B,mah_national,1,2,1,,,,,
B01AC21,B,batch_release,1,1,0,1,AT,1.0,10000.0,1.0
B01AC21,B,mah_national,1,3,0,,,,,
B01AC22,B,api_cep,1,2,0,1,IN,1.0,10000.0,0.0
B01AC22,B,batch_release,1,3,0,3,BG,0.3333,3333.3,1.0
B01AC22,B,mah_national,1,4,0,,,,,
B01AC24,B,api_cep,1,28,0,4,IN,0.5357,4438.8,0.0714
B01AC24,B,batch_release,1,1,0,1,SE,1.0,10000.0,1.0
B01AC24,B,mah_national,1,8,0,,,,,
B01AC27,B,batch_release,1,1,0,1,BE,1.0,10000.0,1.0
B01AC27,B,mah_national,1,3,0,,,,,
B01AC30,B,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
B01AC30,B,mah_national,2,3,0,,,,,
B01AD,B,mah_national,4,3,2,,,,,
B01AD02,B,mah_national,1,1,1,,,,,
B01AD07,B,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
B01AD07,B,bio_api,1,1,0,1,DE,1.0,10000.0,1.0
B01AD07,B,mah_national,1,1,0,,,,,
B01AD11,B,batch_release,1,3,1,2,FR,0.6667,5555.6,1.0
B01AD11,B,bio_api,1,1,1,1,DE,1.0,10000.0,1.0
B01AD11,B,mah_national,1,1,1,,,,,
B01AD12,B,mah_national,1,1,0,,,,,
